Date,ADYEY,AFRM,ALKT,AVLR,AVDX,BKKT,BILL,BL,BLND,SQ,BHG,BTRS,CLOV,COIN,COMP,DAVE,DLO,DOMA,DCT,ENV,EVER,EXFY,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,HOOD,ROOT,SEZNL,SHOP,SOFI,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2022-09-30 00:00:00,0.119619,0.5204,0.5449,0.7038,0.6064,0.616,0.7769,0.7585,0.4175,0.3119,0.0671,0.581,-0.007,0.8026,0.1818,0.8343,0.5015,0.4432,0.573895,0.6176,0.9433,0.575,0.7845,0.6141,0.570581,0.5314,0.085446,0.6337,0.2287,0.4444,0.4811,0.8775,0.873792,0.45,0.4548,,0.7121,0.5862,0.9294,0.6892,0.7349,0.0968,0.1539,0.4787,0.3043,0.8231,0.4347,0.4484,0.1785,0.4991,0.8959,-0.17517,0.510786,0.5189,0.764,0.6817,0.1622,0.8366,0.591,0.657964,0.872534
2022-06-30 00:00:00,0.122804,0.5573,0.5549,0.7053,0.6023,0.628,0.7688,0.7646,0.4509,0.2868,0.0866,0.5706,-0.0242,0.8182,0.1794,0.8462,0.5189,0.4678,0.582324,0.6294,0.9437,0.6053,0.7793,0.6243,0.626217,0.5548,0.109422,0.6434,0.2589,0.4631,0.4954,0.886,0.874438,0.447,0.4392,,0.7356,0.5722,0.9238,0.7456,0.7692,0.094,0.1437,0.4614,0.3071,0.8133,0.4538,0.4468,0.1928,0.4911,0.907,-0.184704,0.476817,0.5306,0.754,0.6446,0.1706,0.8573,0.578,0.668155,0.872916
2022-03-31 00:00:00,0.126729,0.5343,0.5526,0.7067,,,0.7597,0.7718,0.4936,0.2503,0.1296,0.5663,-0.0537,0.8384,0.1643,,0.5328,0.4633,0.577949,0.642,0.9427,,0.7862,0.6254,0.670063,0.4975,0.074561,0.6475,0.2937,0.4341,0.5083,0.9109,0.87172,0.4487,0.4251,-0.037,0.7427,0.5826,,,0.7987,0.091,0.1164,0.4481,0.3089,0.7979,0.4699,0.448,0.2097,0.4847,0.9129,-0.135784,0.505024,0.5382,0.737,0.6454,0.1842,0.862,0.595,0.668038,0.870244
2021-12-31 00:00:00,0.129109,0.5466,0.5594,0.7103,,,0.7452,0.7833,,0.2414,0.0257,0.5556,-0.068,0.8623,0.1795,,0.5107,,0.577161,0.6569,0.9444,,0.802,0.6795,0.658815,0.5264,,0.6507,0.3043,0.4679,0.5141,0.924,0.888688,0.4267,0.4214,-0.052,,0.6109,,,0.8,0.1117,0.182,0.4501,0.3065,0.7989,0.4782,0.4403,0.2461,,,-0.134938,0.467763,0.5447,0.723,0.6743,,0.8587,0.586,,0.867143
2021-09-30 00:00:00,0.132187,0.5683,,0.7148,,,0.7395,0.7907,,0.2324,,0.5472,-0.0517,,0.185,,,,0.556267,0.6698,0.9444,,0.8168,,0.647162,0.5823,,,,0.4835,0.5415,0.9345,0.885065,,0.4188,-0.03,,0.6005,,,0.8092,0.1313,0.2582,0.4375,,,0.4843,0.4383,0.2793,,,-0.176674,0.469024,0.5422,,0.7156,,0.8651,0.578,,0.863727
2021-06-30 00:00:00,0.13488,,,0.7164,,,0.7426,0.7989,,0.2398,,,,,,,,,0.548348,0.6835,0.9431,,0.8087,,0.5,0.5613,,,,0.4086,0.5792,,0.879884,,0.4228,,,0.5782,,,,0.1094,,0.4277,,,0.4845,0.4393,0.2707,,,-0.004804,0.4848,0.5345,,0.7504,,0.8448,0.614,,0.859925
2021-03-31 00:00:00,0.138308,,,0.714,,,0.7486,0.8068,,0.2879,,,,,,,,,0.546078,0.6927,0.9422,,0.8032,,0.177434,0.5173,,,,0.4105,0.6857,,,,0.43,,,0.5729,,,,,,0.446,,,0.4662,0.4318,0.2616,,,,0.477966,0.5261,,0.7671,,,0.637,,0.857153
2020-12-31 00:00:00,0.14385,,,0.7084,,,0.75,0.8095,,0.3211,,,,,,,,,,0.6964,0.9381,,0.7952,,0.103696,0.5354,,,,0.3702,,,,,0.4602,,,,,,,,,0.47,,,0.459,0.4488,0.2194,,,,0.48647,0.5297,,0.7822,,,0.621,,0.854173
2020-09-30 00:00:00,0.150417,,,0.7005,,,0.7516,0.8069,,0.3676,,,,,,,,,,0.6983,0.9367,,0.769,,0.019758,0.5882,,,,,,,,,0.4745,,,,,,,,,0.5026,,,0.4485,0.4594,0.1733,,,,0.529817,0.5351,,0.7975,,,0.622,,0.852949
2020-06-30 00:00:00,0.15246,,,0.6968,,,0.7415,0.8019,,0.3958,,,,,,,,,,0.6917,0.9353,,0.6465,,0.305222,0.6572,,,,,,,,,0.4757,,,,,,,,,0.5187,,,0.4395,0.4688,0.1789,,,,0.541011,0.5457,,0.8217,,,0.564,,0.851604
