Date,ADYEY,AFRM,ALKT,AVDX,AVLR,BHG,BILL,BKKT,BL,BLND,BLSH,BTRS,BULL,CHYM,CLOV,COIN,COMP,CRCL,DAVE,DCT,DLO,DOMA,ENV,ETOR,EVER,EXFY,FCH.L,FIGR,CPAY,FLYW,GDOT,GEMI,HIPO,HOOD,INTA,KLAR,KPLT,LDI,LMND,LSPD,LU,MELI,MILE,ML,MQ,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,ROOT,SEZNL,SHOP,SLDE,SOFI,SQ,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2023-06-30 00:00:00,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,,,,,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,,Greater than 40%,,Less than 20%,,Less than 20%,Between 20%-40%,,,Between 20%-40%,Greater than 40%,Less than 20%,,Greater than 40%,Between 20%-40%,Between 20%-40%,,,Less than 20%,Greater than 40%,Greater than 40%,Less than 20%,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,,,Greater than 40%,,Greater than 40%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Less than 20%,Between 20%-40%,Greater than 40%
2023-03-31 00:00:00,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,,,,,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,,,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Less than 20%,Between 20%-40%,Greater than 40%
2022-12-31 00:00:00,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Less than 20%,Between 20%-40%,Greater than 40%
2022-09-30 00:00:00,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%
2022-06-30 00:00:00,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%
2022-03-31 00:00:00,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,,Greater than 40%,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%
2021-12-31 00:00:00,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,,Greater than 40%,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%
2021-09-30 00:00:00,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,,Greater than 40%,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%
2021-06-30 00:00:00,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,,Greater than 40%,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,Less than 20%,,Greater than 40%,Greater than 40%,,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%
2021-03-31 00:00:00,Greater than 40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,Greater than 40%,,Between 20%-40%,Greater than 40%,,Less than 20%,,,Greater than 40%,Greater than 40%,Greater than 40%,,,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,,Between 20%-40%,,Greater than 40%,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Greater than 40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,Less than 20%,,Greater than 40%,Greater than 40%,,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Less than 20%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,,Less than 20%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%
