,Fintech,S&P500,NASDAQ,EMCLOUD
2016-12-22,15.52%,9.81%,15.02%,32.15%
2016-12-23,15.79%,9.95%,15.34%,33.19%
2016-12-27,16.75%,10.20%,15.87%,34.68%
2016-12-28,15.98%,9.28%,14.83%,32.87%
2016-12-29,16.53%,9.25%,14.70%,33.21%
2016-12-30,15.36%,8.74%,13.66%,32.41%
2017-01-03,17.24%,9.66%,14.63%,34.51%
2017-01-04,19.92%,10.29%,15.64%,37.18%
2017-01-05,22.07%,10.20%,15.88%,38.06%
2017-01-06,23.11%,10.59%,16.58%,40.04%
2017-01-09,23.37%,10.20%,16.80%,41.50%
2017-01-10,23.26%,10.20%,17.22%,42.13%
2017-01-11,23.56%,10.51%,17.47%,44.56%
2017-01-12,23.54%,10.27%,17.13%,43.62%
2017-01-13,23.98%,10.48%,17.70%,45.45%
2017-01-17,23.94%,10.15%,16.95%,43.24%
2017-01-18,24.14%,10.34%,17.31%,44.60%
2017-01-19,24.20%,9.95%,16.98%,44.93%
2017-01-20,25.07%,10.32%,17.30%,46.19%
2017-01-23,24.69%,10.02%,17.25%,45.85%
2017-01-24,25.85%,10.74%,18.26%,47.31%
2017-01-25,26.27%,11.63%,19.43%,49.59%
2017-01-26,25.40%,11.55%,19.41%,47.83%
2017-01-27,24.05%,11.45%,19.53%,48.04%
2017-01-30,22.86%,10.78%,18.53%,46.37%
2017-01-31,22.91%,10.68%,18.55%,46.70%
2017-02-01,22.35%,10.72%,19.14%,46.24%
2017-02-02,23.15%,10.78%,19.01%,46.57%
2017-02-03,23.53%,11.58%,19.65%,49.09%
2017-02-06,23.97%,11.35%,19.58%,48.48%
2017-02-07,24.59%,11.37%,19.81%,49.03%
2017-02-08,25.89%,11.45%,19.98%,48.51%
2017-02-09,27.80%,12.09%,20.67%,52.45%
2017-02-10,27.99%,12.49%,21.07%,53.30%
2017-02-13,28.83%,13.08%,21.70%,53.15%
2017-02-14,29.35%,13.54%,22.10%,52.84%
2017-02-15,31.85%,14.10%,22.88%,55.96%
2017-02-16,32.09%,14.00%,22.78%,55.58%
2017-02-17,32.77%,14.19%,23.28%,57.20%
2017-02-21,34.12%,14.89%,23.86%,58.58%
2017-02-22,34.92%,14.76%,23.75%,58.39%
2017-02-23,37.23%,14.81%,23.21%,57.77%
2017-02-24,38.68%,14.98%,23.42%,58.33%
2017-02-27,38.46%,15.10%,23.77%,58.70%
2017-02-28,36.62%,14.80%,23.00%,55.97%
2017-03-01,36.77%,16.37%,24.66%,59.03%
2017-03-02,36.54%,15.69%,23.76%,57.19%
2017-03-03,37.53%,15.75%,23.96%,57.59%
2017-03-06,36.57%,15.37%,23.50%,57.13%
2017-03-07,36.74%,15.03%,23.18%,57.16%
2017-03-08,36.64%,14.77%,23.26%,57.24%
2017-03-09,37.68%,14.86%,23.28%,57.71%
2017-03-10,38.47%,15.24%,23.77%,58.59%
2017-03-13,38.48%,15.28%,24.06%,60.48%
2017-03-14,37.43%,14.89%,23.66%,58.73%
2017-03-15,38.99%,15.85%,24.58%,60.42%
2017-03-16,39.19%,15.66%,24.59%,61.60%
2017-03-17,40.92%,15.51%,24.60%,62.18%
2017-03-20,42.08%,15.28%,24.61%,62.50%
2017-03-21,38.53%,13.85%,22.33%,57.94%
2017-03-22,39.24%,14.06%,22.92%,57.84%
2017-03-23,39.71%,13.94%,22.84%,57.77%
2017-03-24,40.47%,13.85%,23.07%,58.77%
2017-03-27,41.98%,13.73%,23.32%,60.19%
2017-03-28,42.99%,14.55%,24.05%,60.96%
2017-03-29,43.45%,14.68%,24.52%,61.48%
2017-03-30,41.74%,15.02%,24.88%,60.50%
2017-03-31,40.68%,14.76%,24.82%,61.46%
2017-04-03,41.21%,14.57%,24.46%,61.92%
2017-04-04,40.37%,14.63%,24.55%,61.07%
2017-04-05,39.86%,14.28%,23.83%,61.29%
2017-04-06,40.88%,14.50%,24.13%,62.64%
2017-04-07,40.90%,14.41%,24.11%,63.07%
2017-04-10,41.50%,14.49%,24.17%,62.89%
2017-04-11,41.05%,14.32%,23.87%,63.66%
2017-04-12,40.99%,13.89%,23.23%,64.01%
2017-04-13,40.94%,13.12%,22.57%,63.89%
2017-04-17,43.04%,14.09%,23.66%,65.50%
2017-04-18,42.67%,13.76%,23.51%,65.73%
2017-04-19,43.88%,13.56%,23.80%,67.29%
2017-04-20,47.44%,14.42%,24.93%,68.44%
2017-04-21,47.37%,14.07%,24.80%,68.61%
2017-04-24,48.44%,15.31%,26.35%,70.33%
2017-04-25,50.36%,16.01%,27.23%,72.50%
2017-04-26,48.47%,15.96%,27.22%,71.89%
2017-04-27,51.48%,16.02%,27.72%,73.94%
2017-04-28,53.25%,15.80%,27.69%,74.09%
2017-05-01,54.94%,16.00%,28.62%,76.37%
2017-05-02,59.54%,16.14%,28.70%,76.88%
2017-05-03,58.17%,15.99%,28.22%,75.54%
2017-05-04,59.91%,16.06%,28.28%,77.84%
2017-05-05,66.49%,16.53%,28.82%,78.48%
2017-05-08,66.62%,16.54%,28.86%,76.97%
2017-05-09,69.05%,16.42%,29.23%,77.24%
2017-05-10,72.20%,16.55%,29.41%,79.22%
2017-05-11,71.20%,16.30%,29.14%,79.28%
2017-05-12,72.86%,16.13%,29.25%,80.52%
2017-05-15,75.04%,16.68%,29.85%,82.94%
2017-05-16,76.33%,16.60%,30.27%,83.51%
2017-05-17,68.83%,14.48%,26.93%,76.46%
2017-05-18,69.31%,14.90%,27.85%,78.19%
2017-05-19,68.52%,15.68%,28.46%,80.05%
2017-05-22,71.06%,16.28%,29.51%,82.96%
2017-05-23,73.40%,16.49%,29.62%,82.79%
2017-05-24,75.78%,16.78%,30.13%,84.36%
2017-05-25,76.73%,17.30%,31.02%,85.69%
2017-05-26,76.69%,17.34%,31.13%,87.22%
2017-05-30,76.16%,17.19%,30.98%,85.96%
2017-05-31,77.98%,17.14%,30.88%,85.83%
2017-06-01,80.76%,18.03%,31.90%,89.39%
2017-06-02,83.47%,18.46%,33.14%,92.19%
2017-06-05,83.87%,18.32%,32.93%,91.50%
2017-06-06,85.23%,17.99%,32.50%,91.64%
2017-06-07,85.52%,18.18%,32.97%,91.21%
2017-06-08,88.22%,18.21%,33.48%,93.21%
2017-06-09,79.20%,18.11%,31.08%,83.79%
2017-06-12,76.86%,17.99%,30.39%,81.98%
2017-06-13,75.84%,18.53%,31.34%,83.51%
2017-06-14,74.15%,18.41%,30.80%,82.49%
2017-06-15,75.24%,18.14%,30.18%,82.94%
2017-06-16,74.87%,18.18%,29.89%,84.49%
2017-06-19,80.00%,19.16%,31.73%,88.60%
2017-06-20,77.90%,18.37%,30.66%,85.80%
2017-06-21,81.14%,18.30%,31.63%,88.00%
2017-06-22,81.70%,18.24%,31.69%,89.94%
2017-06-23,83.67%,18.43%,32.29%,93.08%
2017-06-26,80.55%,18.46%,31.91%,90.23%
2017-06-27,74.71%,17.51%,29.78%,85.95%
2017-06-28,80.16%,18.54%,31.64%,89.47%
2017-06-29,75.14%,17.52%,29.74%,84.56%
2017-06-30,75.55%,17.70%,29.65%,85.18%
2017-07-03,73.20%,17.98%,29.01%,82.40%
2017-07-05,77.59%,18.15%,29.87%,84.56%
2017-07-06,74.64%,17.04%,28.58%,82.23%
2017-07-07,77.67%,17.79%,29.92%,86.16%
2017-07-10,80.76%,17.90%,30.41%,86.44%
2017-07-11,83.34%,17.81%,30.77%,88.63%
2017-07-12,89.48%,18.67%,32.20%,92.68%
2017-07-13,89.74%,18.89%,32.48%,91.24%
2017-07-14,89.30%,19.45%,33.29%,92.17%
2017-07-17,88.88%,19.44%,33.33%,92.02%
2017-07-18,92.82%,19.51%,33.96%,93.04%
2017-07-19,91.28%,20.15%,34.82%,94.73%
2017-07-20,91.86%,20.13%,34.92%,94.12%
2017-07-21,91.15%,20.09%,34.88%,93.00%
2017-07-24,93.03%,19.96%,35.36%,95.62%
2017-07-25,92.04%,20.31%,35.39%,96.32%
2017-07-26,94.87%,20.35%,35.61%,97.40%
2017-07-27,92.90%,20.23%,34.76%,93.66%
2017-07-28,93.49%,20.07%,34.60%,92.62%
2017-07-31,92.62%,19.98%,34.04%,90.93%
2017-08-01,99.99%,20.28%,34.35%,93.23%
2017-08-02,95.98%,20.33%,34.35%,87.98%
2017-08-03,93.38%,20.07%,33.87%,89.17%
2017-08-04,90.21%,20.30%,34.11%,88.38%
2017-08-07,92.21%,20.50%,34.79%,89.40%
2017-08-08,91.64%,20.21%,34.51%,88.87%
2017-08-09,90.91%,20.16%,34.13%,88.44%
2017-08-10,82.63%,18.42%,31.27%,81.50%
2017-08-11,84.96%,18.57%,32.11%,84.80%
2017-08-14,87.97%,19.76%,33.87%,88.92%
2017-08-15,87.83%,19.71%,33.72%,88.20%
2017-08-16,90.01%,19.88%,33.97%,90.09%
2017-08-17,86.77%,18.02%,31.37%,86.27%
2017-08-18,88.13%,17.81%,31.26%,87.10%
2017-08-21,88.92%,17.95%,31.19%,87.43%
2017-08-22,93.57%,19.12%,32.97%,90.77%
2017-08-23,94.59%,18.71%,32.57%,90.47%
2017-08-24,97.11%,18.46%,32.42%,91.06%
2017-08-25,94.85%,18.66%,32.30%,88.23%
2017-08-28,95.23%,18.72%,32.66%,89.18%
2017-08-29,96.17%,18.82%,33.06%,89.79%
2017-08-30,100.71%,19.36%,34.46%,92.93%
2017-08-31,103.31%,20.05%,35.74%,95.26%
2017-09-01,102.25%,20.29%,35.88%,94.79%
2017-09-05,102.09%,19.38%,34.62%,94.26%
2017-09-06,102.27%,19.75%,34.99%,93.34%
2017-09-07,105.49%,19.73%,35.09%,95.20%
2017-09-08,104.96%,19.55%,34.29%,95.02%
2017-09-11,112.84%,20.85%,35.81%,98.92%
2017-09-12,114.28%,21.25%,36.28%,98.19%
2017-09-13,113.33%,21.34%,36.40%,97.45%
2017-09-14,115.46%,21.21%,35.75%,98.42%
2017-09-15,115.09%,21.44%,36.16%,97.58%
2017-09-18,117.74%,21.61%,36.29%,99.37%
2017-09-19,118.95%,21.75%,36.43%,99.47%
2017-09-20,117.69%,21.82%,36.32%,97.49%
2017-09-21,117.26%,21.45%,35.61%,97.58%
2017-09-22,118.24%,21.53%,35.70%,98.62%
2017-09-25,110.38%,21.26%,34.51%,94.29%
2017-09-26,109.34%,21.27%,34.71%,93.40%
2017-09-27,112.91%,21.77%,36.26%,99.26%
2017-09-28,113.51%,21.91%,36.26%,99.11%
2017-09-29,113.97%,22.36%,37.16%,101.08%
2017-10-02,116.80%,22.84%,37.60%,103.15%
2017-10-03,116.62%,23.10%,37.91%,104.77%
2017-10-04,109.65%,23.26%,37.98%,104.11%
2017-10-05,112.33%,23.95%,39.05%,105.54%
2017-10-06,111.62%,23.82%,39.15%,107.56%
2017-10-09,112.28%,23.60%,38.93%,106.85%
2017-10-10,110.90%,23.88%,39.09%,106.01%
2017-10-11,115.36%,24.11%,39.43%,107.03%
2017-10-12,116.21%,23.90%,39.18%,108.04%
2017-10-13,115.93%,24.01%,39.48%,108.47%
2017-10-16,115.44%,24.22%,39.86%,107.17%
2017-10-17,113.21%,24.31%,39.86%,107.10%
2017-10-18,115.39%,24.40%,39.87%,108.58%
2017-10-19,113.86%,24.44%,39.46%,108.80%
2017-10-20,121.20%,25.08%,39.97%,113.61%
2017-10-23,119.53%,24.58%,39.08%,111.29%
2017-10-24,122.04%,24.78%,39.32%,112.68%
2017-10-25,121.83%,24.20%,38.59%,111.12%
2017-10-26,125.31%,24.36%,38.44%,111.67%
2017-10-27,128.81%,25.36%,41.49%,113.81%
2017-10-30,128.59%,24.96%,41.45%,113.63%
2017-10-31,129.45%,25.08%,42.05%,118.04%
2017-11-01,126.36%,25.28%,41.82%,115.61%
2017-11-02,126.79%,25.30%,41.78%,116.96%
2017-11-03,131.20%,25.69%,42.83%,118.67%
2017-11-06,134.04%,25.85%,43.29%,118.42%
2017-11-07,132.28%,25.83%,42.90%,115.55%
2017-11-08,133.26%,26.01%,43.35%,117.05%
2017-11-09,134.16%,25.53%,42.52%,114.33%
2017-11-10,137.75%,25.42%,42.54%,115.67%
2017-11-13,138.43%,25.54%,42.68%,115.46%
2017-11-14,138.39%,25.25%,42.27%,115.34%
2017-11-15,138.59%,24.56%,41.60%,113.70%
2017-11-16,149.00%,25.58%,43.44%,119.00%
2017-11-17,152.96%,25.25%,43.22%,119.20%
2017-11-20,156.20%,25.41%,43.38%,120.53%
2017-11-21,165.78%,26.23%,44.90%,123.19%
2017-11-22,167.40%,26.14%,45.00%,123.47%
2017-11-24,169.44%,26.40%,45.46%,125.84%
2017-11-27,151.61%,26.35%,45.24%,122.87%
2017-11-28,154.04%,27.59%,45.95%,124.21%
2017-11-29,137.50%,27.55%,44.09%,115.14%
2017-11-30,141.26%,28.59%,45.14%,116.52%
2017-12-01,138.28%,28.33%,44.58%,114.72%
2017-12-04,127.22%,28.20%,43.06%,106.25%
2017-12-05,128.34%,27.72%,42.78%,106.13%
2017-12-06,131.21%,27.70%,43.08%,107.18%
2017-12-07,135.57%,28.08%,43.85%,111.71%
2017-12-08,134.03%,28.78%,44.43%,111.23%
2017-12-11,137.04%,29.19%,45.16%,112.57%
2017-12-12,136.25%,29.39%,44.90%,110.24%
2017-12-13,135.73%,29.33%,45.18%,112.02%
2017-12-14,137.36%,28.81%,44.77%,112.58%
2017-12-15,139.86%,29.96%,46.46%,116.07%
2017-12-18,142.55%,30.66%,47.69%,117.97%
2017-12-19,139.49%,30.24%,47.04%,115.74%
2017-12-20,135.23%,30.13%,46.98%,114.35%
2017-12-21,135.79%,30.39%,47.07%,113.93%
2017-12-22,133.67%,30.33%,46.96%,112.65%
2017-12-26,134.63%,30.19%,46.46%,113.44%
2017-12-27,136.13%,30.29%,46.52%,113.82%
2017-12-28,133.40%,30.53%,46.75%,113.71%
2017-12-29,131.33%,29.86%,45.76%,111.90%
2018-01-02,136.59%,30.93%,47.95%,114.74%
2018-01-03,143.87%,31.77%,49.19%,117.44%
2018-01-04,145.92%,32.30%,49.45%,120.37%
2018-01-05,154.90%,33.23%,50.69%,121.44%
2018-01-08,156.15%,33.46%,51.13%,122.58%
2018-01-09,155.54%,33.63%,51.26%,122.43%
2018-01-10,155.80%,33.48%,51.05%,121.72%
2018-01-11,159.43%,34.42%,52.27%,125.91%
2018-01-12,159.11%,35.33%,53.31%,127.96%
2018-01-16,154.81%,34.85%,52.53%,124.64%
2018-01-17,160.11%,36.12%,54.10%,127.32%
2018-01-18,161.19%,35.90%,54.05%,128.44%
2018-01-19,167.22%,36.50%,54.91%,131.29%
2018-01-22,174.94%,37.60%,56.42%,133.14%
2018-01-23,174.73%,37.90%,57.52%,135.11%
2018-01-24,173.15%,37.82%,56.57%,133.37%
2018-01-25,178.10%,37.90%,56.48%,134.21%
2018-01-26,184.69%,39.53%,58.48%,139.28%
2018-01-29,182.15%,38.59%,57.65%,136.47%
2018-01-30,180.09%,37.08%,56.30%,135.24%
2018-01-31,186.41%,37.15%,56.49%,137.02%
2018-02-01,172.54%,37.06%,55.95%,135.52%
2018-02-02,167.08%,34.16%,52.89%,131.66%
2018-02-05,154.92%,28.66%,47.12%,124.80%
2018-02-06,158.56%,30.90%,50.25%,127.89%
2018-02-07,158.70%,30.25%,48.90%,129.39%
2018-02-08,148.49%,25.36%,43.10%,121.03%
2018-02-09,151.02%,27.23%,45.15%,124.43%
2018-02-12,157.56%,29.00%,47.42%,128.18%
2018-02-13,162.09%,29.34%,48.09%,132.96%
2018-02-14,170.45%,31.07%,50.83%,140.95%
2018-02-15,176.80%,32.65%,53.22%,146.99%
2018-02-16,175.59%,32.70%,52.86%,148.23%
2018-02-20,179.00%,31.93%,52.75%,150.69%
2018-02-21,171.65%,31.20%,52.41%,150.50%
2018-02-22,175.38%,31.33%,52.24%,150.85%
2018-02-23,180.26%,33.44%,54.93%,154.91%
2018-02-26,183.57%,35.00%,56.70%,157.83%
2018-02-27,181.45%,33.29%,54.78%,156.24%
2018-02-28,182.96%,31.81%,53.57%,156.47%
2018-03-01,181.28%,30.05%,51.61%,154.40%
2018-03-02,181.85%,30.71%,53.25%,161.89%
2018-03-05,192.62%,32.16%,54.79%,165.43%
2018-03-06,193.85%,32.50%,55.66%,167.15%
2018-03-07,197.47%,32.44%,56.18%,171.13%
2018-03-08,202.16%,33.03%,56.84%,173.70%
2018-03-09,205.79%,35.34%,59.64%,174.39%
2018-03-12,206.59%,35.17%,60.22%,175.32%
2018-03-13,201.42%,34.31%,58.59%,171.51%
2018-03-14,211.03%,33.54%,58.29%,174.81%
2018-03-15,210.06%,33.44%,57.97%,173.72%
2018-03-16,209.04%,33.66%,57.98%,174.28%
2018-03-19,204.90%,31.77%,55.07%,169.85%
2018-03-20,216.83%,31.96%,55.49%,175.15%
2018-03-21,213.37%,31.72%,55.09%,176.02%
2018-03-22,203.68%,28.40%,51.32%,170.50%
2018-03-23,191.04%,25.71%,47.65%,163.18%
2018-03-26,196.40%,29.12%,52.46%,172.04%
2018-03-27,184.07%,26.89%,47.99%,160.91%
2018-03-28,170.00%,26.52%,46.73%,154.89%
2018-03-29,177.40%,28.27%,49.14%,160.64%
2018-04-02,171.07%,25.40%,45.06%,154.95%
2018-04-03,169.02%,26.98%,46.56%,157.05%
2018-04-04,171.18%,28.45%,48.69%,161.03%
2018-04-05,173.75%,29.33%,49.42%,161.75%
2018-04-06,163.83%,26.50%,46.01%,157.04%
2018-04-09,165.89%,26.92%,46.75%,158.13%
2018-04-10,174.12%,29.04%,49.79%,163.27%
2018-04-11,170.88%,28.33%,49.26%,164.51%
2018-04-12,176.74%,29.39%,50.76%,168.03%
2018-04-13,170.32%,29.02%,50.05%,164.69%
2018-04-16,169.29%,30.06%,51.10%,167.38%
2018-04-17,181.13%,31.45%,53.74%,175.56%
2018-04-18,187.82%,31.56%,54.04%,177.95%
2018-04-19,184.11%,30.80%,52.83%,176.68%
2018-04-20,184.91%,29.69%,50.89%,172.98%
2018-04-23,180.45%,29.69%,50.52%,171.97%
2018-04-24,157.80%,27.96%,47.96%,166.00%
2018-04-25,153.27%,28.19%,47.88%,163.66%
2018-04-26,161.79%,29.53%,50.31%,169.78%
2018-04-27,162.62%,29.68%,50.33%,167.62%
2018-04-30,165.52%,28.61%,49.20%,168.92%
2018-05-01,164.83%,28.94%,50.56%,170.40%
2018-05-02,161.73%,28.01%,49.93%,172.99%
2018-05-03,169.45%,27.73%,49.66%,177.27%
2018-05-04,170.14%,29.36%,52.23%,182.11%
2018-05-07,177.04%,29.81%,53.40%,186.20%
2018-05-08,184.87%,29.77%,53.44%,190.59%
2018-05-09,189.25%,31.03%,54.98%,195.25%
2018-05-10,192.65%,32.26%,56.35%,198.87%
2018-05-11,191.34%,32.48%,56.31%,197.22%
2018-05-14,188.65%,32.60%,56.49%,191.15%
2018-05-15,188.27%,31.69%,55.23%,190.98%
2018-05-16,193.52%,32.23%,56.21%,193.76%
2018-05-17,191.85%,32.12%,55.88%,194.52%
2018-05-18,194.15%,31.77%,55.28%,198.39%
2018-05-21,196.76%,32.74%,56.12%,196.52%
2018-05-22,189.15%,32.33%,55.79%,191.16%
2018-05-23,191.74%,32.75%,56.80%,194.01%
2018-05-24,194.71%,32.49%,56.76%,195.48%
2018-05-25,194.93%,32.17%,56.96%,196.74%
2018-05-29,197.10%,30.65%,56.18%,198.54%
2018-05-30,201.60%,32.30%,57.57%,202.16%
2018-05-31,203.47%,31.39%,57.14%,202.63%
2018-06-01,208.84%,32.82%,59.51%,207.63%
2018-06-04,217.98%,33.41%,60.61%,211.41%
2018-06-05,221.70%,33.51%,61.27%,214.22%
2018-06-06,227.33%,34.65%,62.36%,216.58%
2018-06-07,218.16%,34.56%,61.21%,206.50%
2018-06-08,222.60%,34.98%,61.43%,209.86%
2018-06-11,219.91%,35.12%,61.74%,211.79%
2018-06-12,228.77%,35.36%,62.66%,219.34%
2018-06-13,226.56%,34.81%,62.49%,220.47%
2018-06-14,231.89%,35.14%,63.87%,224.69%
2018-06-15,233.53%,35.01%,63.56%,225.26%
2018-06-18,240.65%,34.72%,63.58%,229.57%
2018-06-19,238.92%,34.18%,63.12%,226.29%
2018-06-20,244.96%,34.41%,64.30%,228.88%
2018-06-21,239.57%,33.55%,62.86%,222.24%
2018-06-22,233.94%,33.80%,62.43%,214.02%
2018-06-25,216.54%,31.97%,59.04%,202.84%
2018-06-26,219.61%,32.26%,59.66%,205.53%
2018-06-27,206.71%,31.12%,57.20%,195.62%
2018-06-28,213.14%,31.93%,58.44%,202.83%
2018-06-29,213.98%,32.03%,58.58%,203.78%
2018-07-02,220.34%,32.44%,59.79%,208.75%
2018-07-03,216.72%,31.78%,58.42%,207.69%
2018-07-05,225.34%,32.92%,60.18%,211.52%
2018-07-06,234.82%,34.04%,62.34%,217.10%
2018-07-09,235.93%,35.23%,63.77%,218.23%
2018-07-10,231.58%,35.70%,63.83%,215.42%
2018-07-11,234.01%,34.73%,62.93%,216.31%
2018-07-12,245.73%,35.91%,65.20%,225.55%
2018-07-13,243.42%,36.06%,65.24%,224.31%
2018-07-16,243.51%,35.92%,64.81%,223.80%
2018-07-17,250.56%,36.46%,65.86%,228.99%
2018-07-18,251.42%,36.75%,65.84%,229.53%
2018-07-19,257.49%,36.21%,65.23%,228.63%
2018-07-20,257.50%,36.08%,65.12%,228.12%
2018-07-23,261.98%,36.33%,65.58%,231.04%
2018-07-24,254.66%,36.99%,65.56%,222.32%
2018-07-25,265.95%,38.23%,67.49%,231.43%
2018-07-26,260.96%,37.81%,65.80%,230.82%
2018-07-27,247.57%,36.91%,63.37%,216.65%
2018-07-30,227.36%,36.12%,61.10%,202.54%
2018-07-31,220.78%,36.79%,61.99%,201.81%
2018-08-01,227.82%,36.64%,62.74%,208.78%
2018-08-02,248.88%,37.32%,64.75%,218.69%
2018-08-03,235.28%,37.95%,64.95%,214.35%
2018-08-06,243.31%,38.44%,65.95%,220.71%
2018-08-07,244.27%,38.83%,66.46%,226.33%
2018-08-08,244.01%,38.80%,66.56%,225.21%
2018-08-09,243.72%,38.60%,66.63%,229.26%
2018-08-10,247.93%,37.61%,65.52%,229.64%
2018-08-13,249.88%,37.06%,65.11%,226.49%
2018-08-14,259.01%,37.94%,66.19%,231.70%
2018-08-15,246.69%,36.89%,64.15%,226.39%
2018-08-16,248.14%,37.97%,64.83%,229.10%
2018-08-17,247.49%,38.43%,65.04%,229.26%
2018-08-20,251.41%,38.77%,65.14%,230.54%
2018-08-21,254.47%,39.05%,65.94%,234.18%
2018-08-22,260.98%,39.00%,66.58%,238.64%
2018-08-23,263.59%,38.76%,66.35%,242.29%
2018-08-24,270.46%,39.62%,67.78%,251.87%
2018-08-27,272.04%,40.69%,69.30%,254.14%
2018-08-28,280.89%,40.73%,69.55%,255.31%
2018-08-29,297.83%,41.53%,71.23%,258.80%
2018-08-30,303.47%,40.91%,70.78%,256.60%
2018-08-31,305.89%,40.93%,71.23%,256.52%
2018-09-04,315.58%,40.69%,70.84%,261.10%
2018-09-05,297.20%,40.30%,68.82%,249.78%
2018-09-06,300.05%,39.79%,67.29%,250.04%
2018-09-07,307.24%,39.48%,66.86%,257.03%
2018-09-10,306.01%,39.74%,67.32%,259.50%
2018-09-11,318.82%,40.26%,68.34%,262.35%
2018-09-12,314.72%,40.31%,67.95%,262.36%
2018-09-13,286.59%,41.05%,69.21%,263.41%
2018-09-14,289.09%,41.09%,69.13%,264.22%
2018-09-17,271.34%,40.31%,66.72%,252.05%
2018-09-18,277.27%,41.06%,67.99%,256.31%
2018-09-19,267.01%,41.24%,67.86%,249.11%
2018-09-20,274.43%,42.35%,69.51%,252.73%
2018-09-21,269.00%,42.29%,68.64%,247.99%
2018-09-24,270.85%,41.79%,68.77%,249.64%
2018-09-25,299.90%,41.61%,69.07%,256.51%
2018-09-26,298.41%,41.14%,68.71%,251.92%
2018-09-27,309.20%,41.53%,69.80%,252.95%
2018-09-28,312.05%,41.53%,69.90%,253.60%
2018-10-01,304.75%,42.05%,69.70%,245.87%
2018-10-02,304.44%,41.99%,68.91%,236.23%
2018-10-03,303.03%,42.09%,69.45%,239.52%
2018-10-04,289.77%,40.93%,66.37%,228.52%
2018-10-05,287.92%,40.15%,64.45%,226.04%
2018-10-08,258.43%,40.10%,63.34%,212.84%
2018-10-09,258.46%,39.90%,63.39%,209.56%
2018-10-10,224.98%,35.30%,56.71%,193.26%
2018-10-11,198.59%,32.52%,54.75%,189.92%
2018-10-12,216.91%,34.40%,58.29%,202.85%
2018-10-15,215.24%,33.60%,56.90%,200.89%
2018-10-16,235.47%,36.48%,61.43%,217.05%
2018-10-17,229.66%,36.44%,61.37%,215.42%
2018-10-18,217.62%,34.48%,58.05%,207.21%
2018-10-19,217.47%,34.43%,57.28%,196.63%
2018-10-22,225.07%,33.85%,57.70%,202.74%
2018-10-23,222.68%,33.11%,57.04%,200.95%
2018-10-24,202.14%,29.01%,50.09%,185.24%
2018-10-25,221.40%,31.41%,54.52%,195.63%
2018-10-26,212.23%,29.13%,51.33%,186.31%
2018-10-29,197.69%,28.28%,48.86%,183.49%
2018-10-30,202.61%,30.29%,51.22%,189.94%
2018-10-31,221.48%,31.71%,54.26%,199.92%
2018-11-01,234.39%,33.10%,56.97%,206.32%
2018-11-02,237.65%,32.26%,55.34%,200.91%
2018-11-05,228.66%,33.00%,54.75%,196.24%
2018-11-06,234.62%,33.83%,55.74%,195.70%
2018-11-07,256.23%,36.67%,59.85%,215.07%
2018-11-08,236.29%,36.33%,59.01%,211.34%
2018-11-09,225.50%,35.07%,56.39%,204.23%
2018-11-12,211.66%,32.41%,52.04%,193.85%
2018-11-13,218.14%,32.22%,52.04%,194.76%
2018-11-14,215.87%,31.21%,50.68%,192.14%
2018-11-15,231.86%,32.60%,53.27%,202.72%
2018-11-16,223.30%,32.90%,53.04%,200.26%
2018-11-19,192.22%,30.69%,48.40%,174.25%
2018-11-20,186.72%,28.32%,45.88%,173.69%
2018-11-21,189.70%,28.71%,47.22%,181.08%
2018-11-23,191.64%,27.86%,46.51%,183.49%
2018-11-26,206.20%,29.85%,49.53%,194.25%
2018-11-27,205.49%,30.27%,49.55%,190.90%
2018-11-28,222.27%,33.26%,53.96%,206.63%
2018-11-29,220.77%,32.97%,53.57%,209.20%
2018-11-30,223.94%,34.06%,54.78%,213.53%
2018-12-03,233.73%,35.53%,57.12%,218.15%
2018-12-04,205.48%,31.14%,51.15%,203.83%
2018-12-06,215.30%,30.94%,51.78%,211.10%
2018-12-07,195.30%,27.89%,47.15%,198.28%
2018-12-10,206.39%,28.11%,48.24%,203.87%
2018-12-11,204.07%,28.07%,48.47%,204.48%
2018-12-12,212.76%,28.76%,49.88%,210.82%
2018-12-13,210.84%,28.74%,49.29%,209.17%
2018-12-14,198.27%,26.28%,45.92%,202.10%
2018-12-17,183.11%,23.66%,42.60%,187.07%
2018-12-18,189.76%,23.67%,43.24%,191.34%
2018-12-19,185.43%,21.76%,40.13%,190.96%
2018-12-20,174.22%,19.84%,37.85%,182.26%
2018-12-21,158.72%,17.37%,33.72%,169.22%
2018-12-24,151.41%,14.19%,30.76%,169.75%
2018-12-26,173.87%,19.86%,38.39%,189.38%
2018-12-27,177.99%,20.88%,38.92%,194.40%
2018-12-28,175.01%,20.73%,39.03%,193.77%
2018-12-31,178.38%,21.76%,40.10%,197.51%
2019-01-02,182.21%,21.91%,40.75%,195.96%
2019-01-03,164.34%,18.89%,36.47%,184.79%
2019-01-04,185.16%,22.98%,42.29%,198.89%
2019-01-07,194.00%,23.84%,44.08%,209.76%
2019-01-08,201.12%,25.04%,45.63%,214.73%
2019-01-09,210.56%,25.55%,46.90%,216.84%
2019-01-10,212.39%,26.12%,47.51%,218.05%
2019-01-11,213.32%,26.10%,47.20%,217.64%
2019-01-14,210.36%,25.44%,45.82%,213.03%
