,Fintech,S&P500,NASDAQ,EMCLOUD
2015-05-26,6.52%,2.20%,6.26%,13.54%
2015-05-27,6.96%,3.14%,7.82%,13.93%
2015-05-28,6.07%,3.01%,7.64%,14.29%
2015-05-29,5.65%,2.36%,7.05%,13.05%
2015-06-01,6.17%,2.57%,7.32%,12.93%
2015-06-02,6.20%,2.46%,7.19%,12.41%
2015-06-03,6.21%,2.68%,7.67%,14.01%
2015-06-04,5.15%,1.79%,6.82%,12.72%
2015-06-05,6.66%,1.65%,7.02%,14.73%
2015-06-08,5.41%,0.99%,6.03%,13.65%
2015-06-09,5.07%,1.03%,5.87%,13.70%
2015-06-10,8.50%,2.25%,7.19%,14.85%
2015-06-11,7.53%,2.43%,7.32%,14.83%
2015-06-12,8.01%,1.71%,6.65%,15.07%
2015-06-15,7.71%,1.24%,6.21%,16.09%
2015-06-16,8.68%,1.82%,6.75%,17.72%
2015-06-17,7.98%,2.02%,6.94%,18.25%
2015-06-18,8.98%,3.03%,8.38%,20.20%
2015-06-19,8.70%,2.48%,8.04%,19.84%
2015-06-22,8.95%,3.11%,8.82%,20.44%
2015-06-23,10.84%,3.17%,8.95%,21.10%
2015-06-24,9.52%,2.41%,8.16%,18.79%
2015-06-25,10.17%,2.11%,7.94%,19.66%
2015-06-26,9.41%,2.07%,7.27%,17.63%
2015-06-29,5.68%,-0.06%,4.70%,14.01%
2015-06-30,6.45%,0.20%,5.30%,14.85%
2015-07-01,6.25%,0.90%,5.85%,15.03%
2015-07-02,5.63%,0.87%,5.77%,13.70%
2015-07-06,4.49%,0.48%,5.40%,13.25%
2015-07-07,3.77%,1.09%,5.52%,13.08%
2015-07-08,1.79%,-0.59%,3.67%,11.85%
2015-07-09,3.24%,-0.37%,3.93%,13.39%
2015-07-10,3.88%,0.86%,5.52%,14.80%
2015-07-13,5.00%,1.98%,7.08%,15.12%
2015-07-14,4.57%,2.43%,7.79%,16.49%
2015-07-15,4.52%,2.36%,7.66%,16.15%
2015-07-16,4.85%,3.18%,9.02%,17.65%
2015-07-17,4.52%,3.29%,10.01%,16.91%
2015-07-20,5.26%,3.37%,10.19%,17.67%
2015-07-21,4.44%,2.93%,9.97%,17.35%
2015-07-22,4.74%,2.68%,9.20%,17.20%
2015-07-23,3.48%,2.10%,8.66%,17.38%
2015-07-24,3.38%,1.01%,7.44%,17.67%
2015-07-27,2.07%,0.42%,6.41%,14.98%
2015-07-28,1.92%,1.67%,7.46%,16.20%
2015-07-29,3.41%,2.41%,7.93%,16.16%
2015-07-30,2.83%,2.42%,8.29%,16.37%
2015-07-31,3.34%,2.18%,8.28%,18.58%
2015-08-03,2.51%,1.90%,8.01%,17.77%
2015-08-04,2.52%,1.67%,7.80%,18.13%
2015-08-05,2.23%,1.99%,8.53%,21.37%
2015-08-06,0.89%,1.20%,6.76%,17.87%
2015-08-07,1.92%,0.91%,6.49%,17.55%
2015-08-10,2.52%,2.20%,7.72%,19.42%
2015-08-11,0.65%,1.22%,6.35%,18.48%
2015-08-12,0.62%,1.32%,6.51%,18.07%
2015-08-13,0.27%,1.19%,6.28%,17.95%
2015-08-14,0.86%,1.59%,6.59%,18.46%
2015-08-17,1.84%,2.11%,7.51%,20.83%
2015-08-18,0.83%,1.85%,6.83%,18.91%
2015-08-19,0.30%,1.01%,5.98%,18.46%
2015-08-20,-3.00%,-1.13%,2.99%,13.41%
2015-08-21,-4.67%,-4.27%,-0.63%,11.17%
2015-08-24,-8.09%,-8.05%,-4.43%,6.55%
2015-08-25,-8.34%,-9.29%,-4.85%,6.47%
2015-08-26,-5.67%,-5.75%,-0.81%,8.84%
2015-08-27,-3.64%,-3.46%,1.62%,10.74%
2015-08-28,-3.80%,-3.40%,1.95%,11.88%
2015-08-31,-4.78%,-4.21%,0.85%,10.36%
2015-09-01,-6.87%,-7.05%,-2.11%,7.06%
2015-09-02,-6.00%,-5.34%,0.29%,9.18%
2015-09-03,-4.48%,-5.23%,-0.05%,9.30%
2015-09-04,-5.63%,-6.69%,-1.10%,8.50%
2015-09-08,-2.80%,-4.35%,1.60%,12.33%
2015-09-09,-4.04%,-5.68%,0.43%,11.24%
2015-09-10,-4.04%,-5.18%,1.27%,12.23%
2015-09-11,-4.08%,-4.75%,1.82%,13.22%
2015-09-14,-4.03%,-5.14%,1.47%,12.66%
2015-09-15,-2.18%,-3.92%,2.63%,13.92%
2015-09-16,-1.69%,-3.09%,3.23%,14.02%
2015-09-17,2.20%,-3.34%,3.33%,15.24%
2015-09-18,1.53%,-4.90%,1.93%,15.42%
2015-09-21,1.27%,-4.47%,1.96%,16.12%
2015-09-22,-0.80%,-5.64%,0.44%,14.57%
2015-09-23,-0.99%,-5.84%,0.35%,14.83%
2015-09-24,-3.06%,-6.15%,-0.03%,13.07%
2015-09-25,-3.34%,-6.20%,-1.05%,11.18%
2015-09-28,-5.80%,-8.60%,-4.06%,7.70%
2015-09-29,-7.01%,-8.49%,-4.62%,7.24%
2015-09-30,-5.98%,-6.74%,-2.45%,8.86%
2015-10-01,-6.21%,-6.56%,-2.30%,8.57%
2015-10-02,-4.47%,-5.22%,-0.60%,10.88%
2015-10-05,-2.46%,-3.49%,0.95%,12.95%
2015-10-06,-3.48%,-3.84%,0.26%,11.74%
2015-10-07,-1.60%,-3.06%,1.16%,13.08%
2015-10-08,-0.14%,-2.21%,1.58%,13.20%
2015-10-09,-0.65%,-2.14%,1.99%,13.95%
2015-10-12,-2.84%,-2.01%,2.17%,13.75%
2015-10-13,-3.78%,-2.68%,1.28%,11.99%
2015-10-14,-4.27%,-3.14%,0.99%,10.69%
2015-10-15,-2.88%,-1.70%,2.83%,13.47%
2015-10-16,-2.55%,-1.25%,3.18%,15.33%
2015-10-19,-2.78%,-1.23%,3.58%,15.05%
2015-10-20,-1.88%,-1.37%,3.06%,13.87%
2015-10-21,-3.99%,-1.94%,2.20%,11.19%
2015-10-22,-1.98%,-0.31%,3.89%,14.11%
2015-10-23,-1.21%,0.79%,6.25%,14.97%
2015-10-26,1.03%,0.60%,6.31%,15.07%
2015-10-27,-0.65%,0.34%,6.21%,13.81%
2015-10-28,0.93%,1.53%,7.59%,16.85%
2015-10-29,-0.38%,1.48%,7.14%,16.01%
2015-10-30,0.11%,0.99%,6.71%,16.74%
2015-11-02,1.85%,2.19%,8.26%,18.38%
