Date,ADYEY,AFRM,ALKT,AVLR,AVDX,BKKT,BILL,BL,BLND,SQ,BHG,BTRS,CLOV,COIN,COMP,DAVE,DLO,DOMA,DCT,ENV,EVER,EXFY,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,HOOD,ROOT,SEZNL,SHOP,SOFI,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2022-06-30 00:00:00,0.08,-0.78,-0.31,-0.19,,,-0.54,-0.27,-0.73,0.01,-0.78,-0.47,-0.43,0.46,-0.08,,0.32,-0.2,-0.04,0.01,-0.05,,0.3,-0.14,0.26,0.03,-4.07,-0.31,0.07,-1.88,-0.45,0.03,0.24,-0.32,0.01,-2.06,-1.07,-0.18,,,-0.28,-0.08,-0.3,0.11,0.02,-0.07,0.16,-0.23,-0.06,-0.09,-2.03,-1.51,-0.66,0.63,-0.5,-0.23,-0.29,0.16,0.19,0.06,-0.02
2022-03-31 00:00:00,0.08,-0.77,-0.32,-0.17,,,-0.52,-0.23,,0.03,-0.16,-0.39,-0.46,0.5,-0.06,,0.33,,-0.07,0.02,-0.04,,0.31,-0.11,0.22,0.02,,-0.27,0.06,-1.9,-0.5,0.02,0.27,-0.31,0.01,-2.97,,-0.21,,,-0.31,-0.12,-0.39,0.14,0.02,-0.06,0.2,-0.26,-0.05,,,-1.8,-0.63,0.81,-0.53,-0.07,,0.12,0.19,,-0.02
2021-12-31 00:00:00,0.08,-0.51,,-0.15,,,-0.41,-0.23,,0.04,,-0.33,-0.52,,-0.05,,,,-0.11,0.02,-0.03,,0.31,,0.18,0.02,,,,-1.88,-0.51,0.01,0.25,,0.001,-3.74,,-0.21,,,-0.21,-0.22,-0.39,0.14,,,0.2,-0.27,-0.01,,,-1.91,-0.6,0.64,,0.39,,0.12,0.2,,0.001
2021-09-30 00:00:00,0.08,,,-0.13,,,-0.33,-0.2,,0.03,,,,,,,,,-0.12,0.02,-0.04,,0.32,,-0.21,0.001,,,,-1.47,-0.56,,0.23,,0.001,,,-0.23,,,,-0.22,,0.17,,,0.23,-0.3,0.01,,,-1.23,-0.51,0.47,,0.26,,0.05,0.22,,0.02
2021-06-30 00:00:00,0.07,,,-0.11,,,-0.26,-0.13,,0.02,,,,,,,,,-0.11,0.001,-0.03,,0.3,,-1.04,0.02,,,,-1.3,-0.57,,,,0.001,,,-0.2,,,,,,0.19,,,0.2,-0.34,-0.02,,,,-0.55,0.11,,0.27,,,0.22,,0.03
2021-03-31 00:00:00,0.08,,,-0.11,,,-0.23,-0.12,,0.04,,,,,,,,,,-0.01,-0.03,,0.3,,-1.42,0.04,,,,-1.24,,,,,0.001,,,,,,,,,0.21,,,0.16,-0.3,-0.05,,,,-0.48,0.08,,0.27,,,0.2,,0.05
2020-12-31 00:00:00,0.08,,,-0.12,,,-0.2,-0.12,,0.05,,,,,,,,,,-0.01,-0.02,,0.3,,-1.85,0.04,,,,,,,,,-0.06,,,,,,,,,0.24,,,0.13,-0.3,-0.08,,,,-0.51,-0.03,,0.28,,,0.17,,0.03
2020-09-30 00:00:00,0.08,,,-0.14,,,-0.18,-0.12,,0.06,,,,,,,,,,-0.01,-0.02,,0.32,,-0.98,0.07,,,,,,,,,-0.08,,,,,,,,,0.24,,,0.1,-0.26,-0.09,,,,-0.69,-0.08,,0.3,,,0.09,,0.01
2020-06-30 00:00:00,0.09,,,-0.14,,,,-0.11,,0.08,,,,,,,,,,-0.02,-0.03,,0.34,,-0.51,0.09,,,,,,,,,-0.08,,,,,,,,,0.25,,,0.14,-0.23,-0.1,,,,-0.83,-0.08,,0.34,,,-0.05,,0.01
2020-03-31 00:00:00,0.08,,,-0.16,,,,-0.12,,-0.01,,,,,,,,,,-0.02,-0.06,,0.37,,-0.42,0.1,,,,,,,,,-0.06,,,,,,,,,0.24,,,0.15,-0.23,-0.13,,,,,-0.09,,0.31,,,0.03,,0.001
