unclean_ticker,ticker,company_name,vertical,ipo_type,price,ytd_performance,revenue_ttm,revenue_growth_rate,market_cap,gross_margin,ebitda_margin,net_profit_margin_ttm,ev_to_gp,ev_to_rev,estimated_revenue_growth,ev_to_ntm_rev,price_to_book_value,enterprise_value
SOFI,SOFI,SoFi,Banking,SPAC,16.27,-0.4075018208302986,4769597000.0,0.29,15144255560.406712,0.687294125688187,,0.10091418625095579,5.2318744449555785,3.595836572356113,0.2254878180972657,3.676931629522046,1.970687984496124,17150691328.0
DLO,DLO,dLocal,Payments,IPO,12.75,-0.093816631130064,1093587000.0,0.47,3772549274.335413,0.36828894271786333,0.24967469437731063,0.1799591619139584,8.280469947064724,3.049605522011509,0.2201394894135269,2.2048510824768313,6.606217616580311,3335008954.0
MQ,MQ,Marqeta,Payments,IPO,4.0,-0.13793103448275856,624884000.0,0.23,2088565269.5649457,0.6997650763981795,-0.008747223484678756,-0.022284135935629654,2.150568090341938,1.5048924440376135,0.165684478273602,1.3262719561585672,2.268859897901305,940383210.0
PAYO,PAYO,Payoneer,Payments,SPAC,4.92,-0.09558823529411775,1052773999.0,0.08,1754982438.7216604,0.8244817974460632,0.177888131904747,0.06952299360501209,1.5588593439795706,1.2852511538898672,0.10279917794750659,1.2224549321500782,3.438155136268344,1353078997.0
INTA,INTA,Intapp Inc.,B2B SaaS,IPO,24.82,-0.4342375199452929,537369000.0,0.16,1757806465.6165965,0.7476817605779269,-0.031276459937212606,-0.0437,4.519605583638848,3.3792266598929226,0.2115717319011703,2.789126364470652,4.854292978681791,1815891651.0
WPLCF,WISE.LSE,Wise,Payments,Direct Listing,,,2528983589.200635,0.13,,0.7080433308912031,0.28834580564132084,0.2023130462085928,-3.869099057007318,-2.7394897838714742,-0.1470291150913181,-3.2117037431644118,,-6928124706.193752
BLND,BLND,Blend Labs,PropTech,IPO,1.93,-0.36092715231788086,123521000.0,-0.11,449476724.60758394,0.7375506998809919,-0.13863229734215235,-0.05811157616923438,4.910809369614612,3.62197088754139,0.14026949825811608,3.27871152250928,-16.218487394957982,447389466.0
HOOD,HOOD,Robinhood,Wealth/Asset Mgmt,IPO,69.78,-0.3943234094262651,4473000000.0,0.52,62608325679.55144,0.8175720992622401,0.4902749832327297,0.4209702660406886,17.28363359857807,14.130616604068857,0.1676201190411699,11.766070707887733,6.880978207277389,63206248070.0
HIPO,HIPO,Hippo Insurance,Insurance,SPAC,25.8,-0.13942628418945968,468600000.0,0.26,588791084.1028352,0.3047375160051216,0.1350832266325224,0.12313273580879215,3.5413829901960785,1.079192255655143,0.23499659979598775,0.8597577201632098,1.5204195886616771,505709491.0
TOST,TOST,Toast,Payments,IPO,27.02,-0.20576131687242805,6153000000.0,0.24,13821035755.319227,0.25889809848854217,0.06322119291402568,0.05558264261335934,8.549799121155054,2.2135267349260523,0.17796372304574914,1.842963379211065,7.493067110371603,13619830000.0
RELY,RELY,Remitly,Payments,IPO,16.21,0.22617246596066565,1635147000.0,0.29,3010337457.226952,0.59363775856238,0.06644540215650337,0.04154550019050275,3.115716491961862,1.8496069546040814,0.1914081643821739,1.5480149387434556,3.9296969696969697,3024379263.0
NRDS,NRDS,Nerdwallet,Banking,IPO,10.54,-0.18484145398298535,836600000.0,0.22,819841604.203037,0.9238584747788668,0.13781974659335405,0.0582,0.7877762944753526,0.7277938058809467,0.06630364753926266,0.676778627699043,2.0060905976398935,608872298.0
NU,NU,NuBank,Banking,IPO,14.26,-0.16216216216216217,15395155998.0,0.37,65140838828.01994,0.4294597598659552,0.25584313666660385,0.18635030391200327,8.724608242702102,3.746868160835378,0.2108061680882254,2.709079385825545,6.133333333333333,57683619840.0
DAVE,DAVE,Dave,Banking,SPAC,174.03,-0.2070803717878622,511910000.0,0.47,2120536547.0994372,0.7981012287316129,0.3554550604598465,0.3827313394932703,5.492088169063727,4.383242316032115,0.18605377970536585,3.2170695351087852,6.685747214752209,2243825574.0
BULL,BULL,Webull,Wealth/Asset Mgmt,SPAC,4.94,-0.39682539682539675,570996806.0,0.47,2622201579.098128,0.7745187667477075,0.08652962937939797,0.043381510613914015,4.013715402983335,3.1086979039949307,0.20479688796937534,2.4433963282773847,2.5437693099897016,1775056574.0
ETOR,ETOR,eToro,Wealth/Asset Mgmt,IPO,30.18,-0.15414798206278024,10180006000.0,-0.19,3592937713.5006804,0.08508845672586048,0.029636819467493438,0.02118819969261315,1.3690337796885481,0.11648897151927022,0.1265523138039495,1.2679087472294197,1.7930133079847907,1185858429.0
CHYM,CHYM,Chime,Banking,IPO,19.36,-0.2666666666666666,2186770000.0,0.31,9437760348.402365,0.8586838121978991,-0.2700128500025151,-0.4618,3.4459785444661253,2.9590059933143404,0.18685654877323876,2.433769613944506,5.248034697750067,6470665536.0
CRCL,CRCL,Circle,Banking,IPO,92.15,0.10398945729004438,2746642000.0,0.64,17106646616.461588,0.07739523388923639,-0.03159822066363217,-0.025299999999999996,97.78955200703744,7.568445249508309,0.3900544746101213,6.640823441600767,6.705231754347668,20787809597.0
BLSH,BLSH,Bullish,Wealth/Asset Mgmt,IPO,37.35,-0.04865002547121744,244914133000.0,-0.02,9666880865.28,0.0005630218203863311,-0.0005732172263002887,-0.0031222452972936438,32.76205487800558,0.01844575177701158,0.12070098356563408,11.791567473862663,1.7516296956338226,4517625304.0
KLAR,KLAR,Klarna,Lending,IPO,13.17,-0.5390269513475674,3477000000.0,1.78,5967397363.95294,0.5867126833477135,0.03422490652861662,-0.08484325568018407,0.9199659794117647,0.5397557083692839,0.28843999137187226,0.4189218838159289,1.9831350700195753,1876730598.0
FIGR,FIGR,Figure,Lending,IPO,32.3,-0.2615454961133975,432055008.0,0.53,4975892804.472526,0.8494265804228336,0.2496001620238134,0.3098,19.391694783545574,16.471820988590416,0.22302856816296512,9.912449944739882,5.687621060045782,7116732749.0
GEMI,GEMI,Gemini,Wealth/Asset Mgmt,IPO,4.35,-0.5801158301158301,179572000.0,0.03,819717828.3317443,-0.2578352972623794,-1.9939801305325997,-3.2455672376539773,-10.170309524838013,2.622264779587018,0.5149637180018336,1.9538165898676787,0.9446254071661236,470885331.0
SLDE,SLDE,Slide Insurance,Insurance,IPO,18.04,-0.028017241379310276,1155900000.0,0.36,2237749248.0,0.7962955272947487,0.5102768405571416,0.3840808028376157,1.1732189544542924,0.9342290059693745,-0.011836412913214467,0.7168820950271216,2.007567326953038,1079875308.0
