Date,ADYEY,AFRM,ALKT,AVDX,AVLR,BHG,BILL,BKKT,BL,BLND,BLSH,BTRS,BULL,CHYM,CLOV,COIN,COMP,CRCL,DAVE,DCT,DLO,DOMA,ENV,ETOR,EVER,EXFY,FCH.L,FIGR,CPAY,FLYW,GDOT,GEMI,HIPO,HOOD,INTA,KLAR,KPLT,LDI,LMND,LSPD,LU,MELI,MILE,ML,MQ,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,ROOT,SEZNL,SHOP,SLDE,SOFI,SQ,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2022-06-30 00:00:00,8.59,13.06,6.62,4.88,11.74,0.12,54.67,45.59,10.11,4.46,,7.76,,,1.04,4.91,0.5,,18.07,9.03,36.43,0.83,3.89,,1.1,9.83,0.52,,8.46,14.48,,,3.87,,5.82,,0.8,,10.74,7.37,1.09,8.65,,3.63,8.31,16.32,1.71,,10.66,1.28,0.57,3.43,6.05,2.28,5.32,7.43,1.49,2.71,,1.75,17.03,,,4.47,3.22,5.8,10.54,,,16.94
2022-03-31 00:00:00,14.7,30.1,10.3,,16.5,0.4,79.7,,14.8,7.4,,7.8,,,1.4,8.8,0.6,,,14.2,50.6,2.5,4.3,,1.0,,2.0,,8.5,19.5,,,10.8,,6.5,,1.1,,21.1,12.5,1.1,11.2,,6.1,16.9,19.5,,,18.3,3.0,0.4,5.1,10.9,4.8,8.9,10.0,3.3,7.3,0.5,3.9,39.6,,,4.5,7.6,11.3,19.0,,4.6,23.3
2021-12-31 00:00:00,15.2,37.8,13.9,,24.4,1.4,113.6,,17.7,,,11.3,,,2.9,9.2,0.9,,,22.1,95.4,4.8,4.6,,1.3,,2.7,,10.3,26.8,,,45.1,,9.1,,1.7,,33.7,45.0,1.5,15.4,3.9,18.1,25.5,27.0,,,29.7,5.2,1.8,10.3,7.6,6.2,12.7,10.4,4.9,,2.1,9.1,42.3,,,7.0,15.7,,51.1,,,26.3
2021-09-30 00:00:00,16.5,24.1,27.6,,24.6,6.1,81.5,,17.4,,,14.5,,,7.1,18.1,1.6,,,23.0,120.7,0.1,4.6,,2.4,,4.1,,10.7,27.1,,,8.2,,9.9,,4.0,,60.5,45.6,2.8,16.8,21.4,5.1,43.5,24.2,,,41.6,4.3,3.1,14.3,12.7,10.0,14.8,13.7,6.8,,6.1,17.1,50.9,,,8.4,33.8,,31.7,,,25.8
2021-06-30 00:00:00,15.1,30.9,,,21.6,,60.9,,17.6,,,21.1,,,5.1,,,,,24.9,,0.2,4.4,,2.9,,4.2,,10.9,,,,,,,,1.1,,54.4,53.3,3.7,18.1,46.6,,,29.1,,,39.2,4.4,16.7,11.6,,,13.1,14.0,7.3,,6.4,18.3,45.0,,,10.8,29.5,,38.6,,,25.3
2021-03-31 00:00:00,18.2,,,,27.9,,61.9,,22.4,,,2.5,,,1.9,,,,,25.0,,,5.1,,3.1,,2.2,,10.7,,,,,,,,,,65.3,49.8,4.3,24.8,14.9,,,33.9,,,,3.8,,16.6,,,13.3,18.1,7.8,,11.2,25.2,54.4,,,12.8,47.9,,14.4,,,29.4
2020-12-31 00:00:00,14.9,,,,23.6,,46.6,,15.2,,,,,,,,,,,29.5,,,4.9,,3.3,,1.8,,9.2,,,,,,,,,,30.8,28.6,,18.7,,,,40.5,,,,,,11.0,,,11.9,13.9,5.5,,,28.4,58.1,,,12.2,34.2,,,,,20.6
2020-09-30 00:00:00,14.1,,,,24.6,,44.6,,14.5,,,,,,,,,,,,,,4.8,,5.5,,0.1,,9.4,,,,,,,,,,,16.2,,19.4,,,,,,,,,,9.6,,,11.1,14.6,4.8,,,28.8,64.3,,,8.9,22.5,,,,,18.3
2020-06-30 00:00:00,8.1,,,,14.2,,15.6,,9.6,,,,,,,,,,,,,,3.8,,2.6,,,,7.5,,,,,,,,,,,11.8,,10.0,,,,,,,,,,4.1,,,6.0,10.1,1.7,,,4.3,29.5,,,4.7,11.3,,,,,16.3
2020-03-31 00:00:00,9.8,,,,14.8,,23.2,,9.9,,,,,,,,,,,,,,4.9,,4.0,,0.2,,11.0,,,,,,,,,,,22.9,,13.0,,,,,,,,,,8.5,,,7.2,12.6,2.8,,,54.4,30.7,,,6.2,22.3,,,,,19.1
